SOC	Term	Freq
15	qa_manager	15001
15	cissp	14753
15	web_design	14678
15	implementation_project_manager	14498
15	data	14062
15	networking	14004
15	obiee	13955
15	quality_assurance_analyst	13698
15	qa_testing	13693
15	qa_lead	13622
15	computer_repair	13385
15	selenium	13038
15	database_administrator	12429
15	edi	12429
15	web_designer	11974
15	computer_science	11898
15	itil	11864
15	pl/sql_developer	11812
15	information_systems	11739
15	computer_operator	11604
15	project_analyst	11375
15	ssis_developer	11273
15	inventory	11115
15	computers	11110
15	manual_testing	11067
15	as400	11023
15	mainframe_developer	10937
15	iphone	10907
15	embedded	10810
15	purchasing	10743
15	field_service_technician	10698
15	agile	10594
15	system	10495
15	lan	10481
15	it_analyst	10478
15	it_business_analyst	10344
15	emr	10330
15	senior_project_manager	10329
15	desktop_support_technician	10325
15	sap_abap	10284
15	selenium_tester	10208
15	microstrategy	10129
15	testing	10109
15	c___developer	10045
15	cognos	9943
15	scrum_master	9942
15	help_desk_manager	9923
15	entry_level_java	9863
15	help_desk_technician	9627
15	test_manager	9603
15	user_experience	9588
15	vp	9585
15	peoplesoft	9575
15	windows_system_administrator	9512
15	embedded_software_engineer	9494
15	ios_developer	9398
15	it_specialist	9397
15	vb.net	9386
15	java/j2ee_developer	9260
15	linux_administrator	9189
15	finance	9116
15	oracle_database_administrator	8974
15	it_security	8962
15	front_end_developer	8837
15	field_service	8756
15	ipad	8734
15	exchange	8700
15	it_project_management_pmp	8678
15	datastage	8602
15	css	8506
15	it_project_management	8488
15	software_quality_assurance	8372
15	fpga	8260
15	voip	8175
15	pc	8148
15	data_warehouse	8129
15	electrical_engineer	8105
15	infrastructure	8026
15	database_developer	7982
15	computer_tech	7855
15	supply_chain_analyst	7800
15	access	7798
15	citrix	7613
15	operations	7608
15	cyber_security	7563
15	program_management	7555
15	it_support_specialist	7432
15	websphere	7406
15	software_qa	7358
15	technical_project_manager	7312
15	network_security	7263
15	big_data	7249
15	embedded_software	7223
15	tech	7198
15	it_service_manager	7186
15	pc_support	7081
15	software_test_engineer	7059
15	c#_.net	7010
15	sharepoint_administrator	6959
15	cio	6952
15	statistician	6943
15	hris	6942
15	erp	6900
15	it_tech_support	6798
15	objective_c	6667
15	service_desk	6633
15	actuarial	6624
15	consultant	6606
15	windows_systems	6511
15	telecom	6491
15	entry_level_information_technology	6391
15	software_test	6350
15	help_desk_analyst	6341
15	validation	6320
15	sr_business_analyst	6258
15	sap_fico	6251
15	junior_developer	6160
15	wpf	6083
15	scrum	6081
15	software_testing	5933
15	web_content	5832
15	network_manager	5826
15	computer_support_specialist	5704
15	windows_server	5679
15	systems	5634
15	abap	5604
15	information_security_analyst	5604
15	procurement	5600
15	senior_business_analyst	5584
15	security_analyst	5504
15	websphere_administrator	5492
15	unix_administrator	5483
15	network_admin	5468
15	voice	5460
15	engineering	5432
15	technical_support_specialist	5419
15	vice	5413
15	cerner	5378
15	automation	5327
15	system_admin	5324
15	tier_1	5257
15	information	5253
15	quality_assurance_tester	5220
15	unix_system_administrator	5185
15	software_support	5158
15	ms_access	5141
15	pos	5099
15	healthcare_it	5094
15	test_lead	5070
15	solution_architect	5021
15	sap_bw	5009
15	test_software	5000
15	j2ee_developer	4979
15	enterprise_architect	4953
15	asp.net_c#	4919
15	healthcare_business_analyst	4842
15	healthcare_project_manager	4740
15	hadoop	4723
15	java_senior	4722
15	buyer	4715
15	mac	4694
15	cisco_network_engineer	4610
15	cto	4603
15	pc_tech	4567
15	lead	4554
15	cloud	4527
15	sas_programmer	4434
15	cobol_mainframe	4419
15	vb	4327
15	c#_developer	4306
15	windows_system	4298
15	business_analyst_healthcare	4271
15	reporting_analyst	4256
15	information_assurance	4215
15	sccm	4165
15	data_architect	4152
15	html5	4122
15	project_manager_healthcare	4120
15	computer_hardware	4106
15	css3	4082
15	ccnp	4076
15	db2	4048
15	mvc	4006
15	change_management	4003
15	bi_developer	3989
15	registered_nurse	3975
15	sap_basis	3930
15	performance_tester	3876
15	hl7	3834
15	sqa	3828
15	it_administrator	3814
15	aix	3809
15	desktop_technician	3789
15	solaris	3777
15	entry_level_help_desk	3745
15	ui_developer	3701
15	php_developer	3688
15	customer_service_support	3670
15	support_technician	3645
15	senior_desktop_support	3629
15	phone_support	3628
15	research	3628
15	sap_bi	3622
15	it_qa	3618
15	exchange_administrator	3606
15	healthcare	3587
15	crystal_reports	3553
15	java_lead	3547
15	marketing	3542
15	seo	3508
15	computer_networking	3478
15	program	3475
15	cocoa_touch	3475
15	hyperion	3468
15	senior_java_developer	3452
15	excel	3447
15	sr	3446
15	ssas	3431
15	java_spring	3411
15	head	3407
15	it_tech	3395
15	qa_manual_tester	3358
15	mathematics	3356
15	network_architect	3342
15	ui	3322
15	security_manager	3297
15	technical_support_analyst	3273
15	quality_assurance_software	3227
15	desktop_support_analyst	3225
15	linux_admin	3221
15	infrastructure_project_manager	3204
15	java_architect	3197
15	front_end	3171
15	actuary	3153
15	qa_software	3140
15	software_development_manager	3134
15	industrial_engineer	3108
15	spss	3095
15	software_manager	3094
15	cyber	3090
15	oracle_applications	3073
15	healthcare_analyst	3070
15	pc_repair	3067
15	technology_director	3063
15	net_developer	3062
15	business_system_analyst	3058
15	quality_center	3028
15	junior_java	3028
15	computer_programmer	3012
15	mobile_tester	2988
15	it_entry_level	2975
15	blackberry	2972
15	python	2964
15	php_web_developer	2932
15	wordpress	2931
15	netapp	2926
15	programmer_analyst	2904
15	qa_software_testing	2901
15	oracle_pl/sql_developer	2894
15	firmware	2882
15	web_development	2875
15	teradata	2874
15	migration	2846
15	remote_project_manager	2834
15	vba	2795
15	avaya	2790
15	entry_level_java_developer	2785
15	uat	2735
15	deployment	2727
15	asp.net_developer	2723
15	electrical_engineering	2719
15	mobile	2710
15	mcse	2709
15	windows_7	2699
15	java_hadoop	2696
15	network_security_engineer	2665
15	requirements_analyst	2662
15	qa_manual	2649
15	loadrunner	2619
15	oracle_applications_dba	2616
15	qa_test	2611
15	information_technology_manager	2600
15	information_security_engineer	2591
15	windows_systems_engineer	2577
15	cognos_developer	2550
15	server_administrator	2549
15	software_architect	2546
15	computer_forensics	2499
15	application_development_manager	2478
15	junior_java_developer	2475
15	actuarial_analyst	2451
15	sap_hr	2448
15	application_analyst	2435
15	senior_software_engineer	2429
15	junior_project_manager	2416
15	economics	2404
15	entry_level_software_engineer	2403
15	fisma	2366
15	asp.net_sql	2366
15	automation_engineer	2364
15	inventory_control	2363
15	gis_analyst	2358
15	sr_network_engineer	2339
15	qa_automation	2339
15	matlab	2338
15	.net_architect	2336
15	infosec	2326
15	ruby_on_rails	2314
15	nurse	2292
15	application_support_analyst	2271
15	project_manager_remote	2259
15	sql_bi_developer	2257
15	planner	2233
15	oracle_financials	2228
15	exchange_2013	2226
15	windows_engineer	2220
15	it_auditor	2219
17	mechanical_engineer	745399
17	engineer	553522
17	electrical_engineer	242964
17	manufacturing_engineer	226849
17	engineering	219214
17	quality_engineer	194168
17	safety	182649
17	chemical_engineer	163172
17	quality	158459
17	industrial_engineer	148625
17	manufacturing	146843
17	process_engineer	141201
